ID,PhotoObjID,SDSSra,SDSSdec,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
49528,1237664292075274266,183.406875537258,16.1195252408702,15.67253,14.86902,14.58281,14.4117,14.62163,0.05978688,0.07494988,0.123394,0.1328388,0.1518892,0.1579119,0.1230439,0.08512118,0.06325416,0.04704947
48960,1237667447801381023,179.450994655177,25.2706366418139,15.61165,14.82668,14.39681,14.23073,14.0611,0.01991757,0.02630819,0.02465588,0.02507077,0.02657628,0.08840896,0.06888767,0.04765617,0.03541364,0.02634124
46753,1237667448879448226,190.405489568001,26.0728230034413,14.63362,13.86213,13.40313,13.16939,13.02904,0.05667016,0.02079704,0.01947062,0.01709439,0.02248981,0.06440841,0.0501866,0.03471886,0.02579983,0.01919034
47349,1237667252933754936,163.584190209766,27.2380642090559,14.66343,13.45146,12.97293,12.54263,12.46043,0.02308596,0.009304798,0.004615505,0.01035257,0.00869509,0.09225658,0.0718857,0.0497302,0.03695486,0.02748763
50959,1237668289617920079,149.079877427885,16.8311896054506,15.13279,13.59254,12.78591,12.3756,11.9581,0.02174942,0.01546794,0.009811084,0.008836952,0.01113359,0.123754,0.09642828,0.06670864,0.04957167,0.03687222
48149,1237667446192209928,182.968726319888,24.1236184140119,14.95686,13.20823,12.53922,12.11757,11.8393,0.03972081,0.03127906,0.03427567,0.02589173,0.01943615,0.1512608,0.1178614,0.08153598,0.06058997,0.04506781
47627,1237665368509710424,174.927178054097,31.9093838664679,15.13787,13.1887,12.35164,12.04935,11.8005,0.02871194,0.009737024,0.01094898,0.01010885,0.005393571,0.1011586,0.07882206,0.05452874,0.0405207,0.03013995
52629,1237664869211504785,137.391036955751,33.1228776960457,24.63452,25.11429,24.80193,21.21605,20.5375,7.138099,21.55821,28.52634,2.683122,1.981668,0.09561202,0.07450024,0.05153892,0.03829894,0.02848738
50650,1237664869211504785,137.391036955751,33.1228776960457,24.63452,25.11429,24.80193,21.21605,20.5375,7.138099,21.55821,28.52634,2.683122,1.981668,0.09561202,0.07450024,0.05153892,0.03829894,0.02848738
50656,1237664869211504785,137.391036955751,33.1228776960457,24.63452,25.11429,24.80193,21.21605,20.5375,7.138099,21.55821,28.52634,2.683122,1.981668,0.09561202,0.07450024,0.05153892,0.03829894,0.02848738
52573,1237661950260215827,198.166159343782,12.5997560141845,15.77388,13.72286,12.94423,12.59362,12.37405,0.1245037,0.01553743,0.0111373,0.003693555,0.00963805,0.1008523,0.07858341,0.05436364,0.04039801,0.0300487
50716,1237665350780846216,217.548441466588,27.5326834740291,23.17422,21.90954,21.5551,21.82111,21.51421,1.299544,0.3110193,0.3151265,0.617839,1.078441,0.08825765,0.06876976,0.0475746,0.03535303,0.02629616